Index,Initial x,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
2158,0.9617274597192002,-0.9741442502048121,2.9349517364717235,18.60347065637116,9545.586755829943,(19091.118776732226+0j),(1.0002096544459864+0j),(0.9997903872630156+0j),(5.238022702653353e-05+0j),(-3.5582878654870242+0j),(-0.2810340359757357+0j)
2159,0.9618628431300089,-0.9768825943184527,2.9344342060904425,18.622704287629702,9504.392569617052,(19008.78508662685+0j),(1.0001811365270312+0j),(0.999818907629349+0j),(5.26075305407586e-05+0j),(-3.5863192564994826+0j),(-0.27883741755302016+0j)
2160,0.9619982179306209,-0.9796408140419535,2.9339133040892706,18.641926555718587,9463.893697758,(18927.728456017103+0j),(1.0002257703515252+0j),(0.9997742741147522+0j),(5.283237717622296e-05+0j),(-3.612801176576478+0j),(-0.27679353253267885+0j)
2161,0.9621335897885029,-0.982419292772764,2.9333889473816104,18.66113714971279,9423.974676613294,(18847.949300170418+0j),(1.0002092448927684+0j),(0.9997907970813447+0j),(5.305637944167847e-05+0j),(-3.6377208812723474+0j),(-0.27489739665055807+0j)
2162,0.9622689643722024,-0.9852184223282328,2.9328610508933024,18.680335748354754,9384.760588585868,(18769.448097554872+0j),(1.0002084891740217+0j),(0.9997915548521733+0j),(5.327786433117815e-05+0j),(-3.6610653659654844+0j),(-0.2731445358230224+0j)
2163,0.9624043473517329,-0.9880386031913667,2.9323295274932466,18.699522019628564,9346.112737703492,(18692.225421908806+0j),(1.0002233004742502+0j),(0.9997767414569548+0j),(5.3498266561372634e-05+0j),(-3.6828214067338787+0j),(-0.27153095129128557+0j)
2164,0.962539744397804,-0.9908802447412529,2.9317942879252583,18.718695620327637,9308.194292546497,(18616.281941327965+0j),(1.0002552430319185+0j),(0.9997448020160452+0j),(5.3716111388336995e-05+0j),(-3.7029755962553685+0j),(-0.27005308947176293+0j)
2165,0.9626751611816203,-0.9937437655032655,2.931255240735406,18.737856195594595,9270.809231253541,(18541.61840857436+0j),(1.0002017688511586+0j),(0.9997982782288554+0j),(5.393292430056734e-05+0j),(-3.721514375823214+0j),(-0.2687078159649653+0j)
2166,0.9628106033744583,-0.9966295934034796,2.930712292197135,18.757003378441453,9234.141977937976,(18468.235684210522+0j),(1.0002470032610289+0j),(0.9997530396118889+0j),(5.414688258644196e-05+0j),(-3.7384240636039965+0j),(-0.2674923933181753+0j)
2167,0.962946076646953,-0.9995381660263329,2.9301653462335184,18.77613678924978,9198.067395167345,(18396.134735975444+0j),(1.0002116971508588+0j),(0.9997883454692457+0j),(5.4359428511918704e-05+0j),(-3.753690879637668+0j),(-0.26640446218820535+0j)
