,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
14,0.9880160681112312,-0.0028611770470927,-2.9132700732567267,4.3018779669724445,2.9434493771049866,1.0000000000714622,(0.014142646996030139+0.999900009985506j),(0.014142646996030139-0.999900009985506j),(0.9999568402013421+0.007939145163627924j),(0.9999568402013421-0.007939145163627924j),(0.9999297587013617+0.01282139396746494j),(0.9999297587013617-0.01282139396746494j)
15,0.9880160752253776,-0.0028609793616536,-2.913370074905992,4.301877969254107,2.943449375888475,1.000000000001187,(0.014146464466719359+0.9998999408485569j),(0.014146464466719359-0.9998999408485569j),(0.9999992150577256+0.002122600854530009j),(0.9999992150577256-0.002122600854530009j),(0.9999206527547588+0.012474239830820816j),(0.9999206527547588-0.012474239830820816j)
16,0.9880160823373838,-0.0028607816949797,-2.9134700773198245,4.301877969548531,2.9434493748767334,1.0000035671677046,(0.014140145154604204+0.9998999637632977j),(0.014140145154604204-0.9998999637632977j),(1.0026745872226337+0j),(0.9973544878056335+0j),(0.9998962519009131+0.013566048163711148j),(0.9998962519009131-0.013566048163711148j)
17,0.9880160894465504,-0.0028605840476295,-2.913570080274722,4.30187797046136,2.9434493738361187,1.0000369162119989,(0.014137591731706846+0.9999000201099231j),(0.014137591731706846-0.9999000201099231j),(1.0086232727107887+0j),(0.9914442573217236+0j),(0.9999014640817474+0.014226203629417514j),(0.9999014640817474-0.014226203629417514j)
18,0.9880160965530864,-0.0028603864190013,-2.9136700840572205,4.301877971272706,2.943449372831377,1.000000000167026,(0.01412909563645244+0.9999002073510557j),(0.01412909563645244-0.9999002073510557j),(1.0000043257844837+0.005282354048906286j),(1.0000043257844837-0.005282354048906286j),(0.9998673577299176+0.01512846836769299j),(0.9998673577299176-0.01512846836769299j)
19,0.9880161036569524,-0.0028601888086541,-2.913770088894359,4.301877972199409,2.943449371842849,1.0000000005062526,(0.01412196708351934+0.999900245515895j),(0.01412196708351934-0.999900245515895j),(1.000006790587966+0.0069290526162022375j),(1.000006790587966-0.0069290526162022375j),(0.9998393384525217+0.01605177659668392j),(0.9998393384525217-0.01605177659668392j)
20,0.9880161107582732,-0.0028599912157449,-2.913870095203467,4.301877972880334,2.943449370902949,1.0000000002068914,(0.014112854634328893+0.9999003751874695j),(0.014112854634328893-0.9999003751874695j),(0.999981167490844+0.008785944661727937j),(0.999981167490844-0.008785944661727937j),(0.9998330129272505+0.017124946043604542j),(0.9998330129272505-0.017124946043604542j)
21,0.9880161178570792,-0.0028597936389791,-2.913970103640356,4.301877973378603,2.9434493700060766,1.0000000009323395,(0.01409884344194235+0.9999006446562686j),(0.01409884344194235-0.9999006446562686j),(0.9999411562411975+0.01427990059249707j),(0.9999411562411975-0.01427990059249707j),(0.9997847416117818+0.01855021067979583j),(0.9997847416117818-0.01855021067979583j)
22,0.9880161249535404,-0.0028595960760687,-2.914070115354903,4.301877973361577,2.943449369181897,1.0000000000803848,(0.014082955214532587+0.9999007388584613j),(0.014082955214532587-0.9999007388584613j),(0.9998752142138381+0.016521341089737084j),(0.9998752142138381-0.016521341089737084j),(0.9997840946307064+0.020159499918179696j),(0.9997840946307064-0.020159499918179696j)
23,0.988016132047934,-0.0028593985227038,-2.9141701325179423,4.301877972358405,2.943449368472681,1.0000000002039118,(0.01406366109285271+0.9999010956442462j),(0.01406366109285271-0.9999010956442462j),(0.9998370377074923+0.016898482857662964j),(0.9998370377074923-0.016898482857662964j),(0.9997770034883049+0.02205296803951073j),(0.9997770034883049-0.02205296803951073j)
