Index,Initial x,Initial z,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig5
185,1.1551422309573867,-0.14018310365179348,-0.2339098148143919,12.765454681977323,3.0911037199190226,942945957.2886218,(1885891914.5772436+0j),(-2.134396265864571e-08+0j),(0.999999716120981+0.000987744004412822j),(0.999999716120981-0.000987744004412822j),(1.0004861913424747+0j),(0.9995139640417071+0j)
186,1.1551704360727406,-0.14014602163800047,-0.23398861285341302,12.765535187002442,3.091089028576585,942801072.2102277,(1885602144.4204555+0j),(-3.377018654070618e-08+0j),(1.000000260606717+0.0007388030366521419j),(1.000000260606717-0.0007388030366521419j),(1.0002274583370416+0j),(0.9997714136134339+0j)
187,1.1551986100449196,-0.14010897233803624,-0.23406734727963807,12.765616044081064,3.0910743305911526,942655583.3205879,(1885311166.6411757+0j),(-3.013211421347985e-08+0j),(1.0002532460243923+0.0004927855383220722j),(1.0002532460243923-0.0004927855383220722j),(0.9997464973416041+0.0004925928464232991j),(0.9997464973416041-0.0004925928464232991j)
188,1.1552267528429934,-0.14007195581907833,-0.23414601794427964,12.765697252129081,3.0910596260350873,942509492.9079888,(1885018985.8159776+0j),(-1.0154320576536015e-08+0j),(0.9999997153698542+0.0010622806334188682j),(0.9999997153698542-0.0010622806334188682j),(1.000528305926973+0j),(0.9994718383656378+0j)
189,1.1552548644369134,-0.14003497214717192,-0.23422462470092204,12.765778810062105,3.0910449149804076,942362803.3672552,(1884725606.7345104+0j),(-1.8593146435393691e-07+0j),(0.999998809350429+0.0007785150221806712j),(0.999998809350429-0.0007785150221806712j),(1.0002609109004144+0j),(0.9997411137921841+0j)
190,1.1552829447974904,-0.13999802138724973,-0.2343031674054484,12.765860716795814,3.0910301974988057,942215516.9818119,(1884431033.9636238+0j),(-9.438530019738759e-08+0j),(1.0000000118621055+0.0011527653890678815j),(1.0000000118621055-0.0011527653890678815j),(1.0005794870251177+0j),(0.9994200155554563+0j)
191,1.1553109938963912,-0.1399611036031332,-0.2343816459159987,12.765942971246115,3.0910154736616637,942067636.1766902,(1884135272.3533804+0j),(-3.541148146434719e-08+0j),(0.9999997977437032+0.0009094367341435578j),(0.9999997977437032-0.0009094367341435578j),(1.0004198526699049+0j),(0.9995799723151197+0j)
192,1.1553390117061408,-0.13992421885753256,-0.23446006009302642,12.766025572328914,3.0910007435400244,941919163.1784358,(1883838326.3568716+0j),(-1.0833737593741868e-07+0j),(0.999999516551759+0.0008117319763907889j),(0.999999516551759-0.0008117319763907889j),(1.000280095922429+0j),(0.999720328876527+0j)
193,1.155366998200119,-0.1398873672120541,-0.23453840979930327,12.76610851896011,3.090986007204584,941770100.287939,(1883540200.575878+0j),(1.4274874769477066e-07+0j),(0.9999996993677717+0.0010881836525814968j),(0.9999996993677717-0.0010881836525814968j),(1.0005506596855205+0j),(0.9994494372168179+0j)
194,1.1553949533525347,-0.13985054872721933,-0.2346166948997695,12.76619181005622,3.0909712647257446,941620450.0115634,(1883240900.0231268+0j),(1.8080069300002544e-07+0j),(0.9999999177678425+0.0012315472906598984j),(0.9999999177678425-0.0012315472906598984j),(1.0006023778883615+0j),(0.9993973024592763+0j)
