Index,Initial x,Initial y,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
183,-0.2343147813035522,0.975414506497281,1.656023005163835,0.3888430315707204,0.7107765363831484,6.31039801777769,2.340394131913232,1.0026819198244872,(0.9205067450777902+0.39072667207189354j),(0.9205067450777902-0.39072667207189354j),(1.0759692471197064+0j),(0.9293945925235192+0j),(1.000000000000337+8.485683192129043e-08j),(1.000000000000337-8.485683192129043e-08j)
184,-0.2464416935977417,0.972514173214986,1.6542210631433385,0.410201665410069,0.7076004159198808,6.310416921201928,2.3280495998222848,1.0026657548705713,(0.922576963315154+0.38581309822553495j),(0.922576963315154-0.38581309822553495j),(1.0757315881261316+0j),(0.9295999216092404+0j),(1.0000000000003515+8.998837109983279e-08j),(1.0000000000003515-8.998837109983279e-08j)
185,-0.258523099282335,0.9694647984829066,1.6520691903290627,0.4315406393632945,0.7044765561175025,6.310435292643168,2.3147161462865355,1.0026499728358509,(0.9245962694340975+0.3809484723040455j),(0.9245962694340975-0.3809484723040455j),(1.07549891261454+0j),(0.9298010330513062+0j),(1.0000000000003553+9.831105271445891e-08j),(1.0000000000003553-9.831105271445891e-08j)
186,-0.2705572383239742,0.966267176179302,1.6495704878836623,0.4528542844990645,0.7014041553442018,6.310453151425182,2.300403456891762,1.0026345629597642,(0.9265662099641572+0.3761317037353229j),(0.9265662099641572-0.3761317037353229j),(1.0752711022541157+0j),(0.9299980236595099+0j),(1.0000000000003353+9.59540325646843e-08j),(1.0000000000003353-9.59540325646843e-08j)
187,-0.2825423728783091,0.9629221162617148,1.646728031610491,0.4741370621471547,0.6983824229937726,6.310470515949274,2.285122007076538,1.0026195148562138,(0.9284882697899115+0.37136172778674437j),(0.9284882697899115-0.37136172778674437j),(1.0750480421756414+0j),(0.9301909875309309+0j),(1.0000000000003386+5.6305603072473996e-08j),(1.0000000000003386-5.6305603072473996e-08j)
188,-0.2944767863645084,0.9594304443234328,1.643544873793498,0.4953835580052304,0.6954105800333694,6.3104874037469285,2.268883037446299,1.002604818500742,(0.930363874999169+0.3666375050354137j),(0.930363874999169-0.3666375050354137j),(1.0748296208893027+0j),(0.9303800161063689+0j),(1.000000000000354+4.619998634587031e-08j),(1.000000000000354-4.619998634587031e-08j)
189,-0.306358782626734,0.9557930011962716,1.6400240449836212,0.5165884766274613,0.6924878594567108,6.310503831528862,2.2516985298367294,1.0025904642173589,(0.932194395601397+0.3619580207861132j),(0.932194395601397-0.3619580207861132j),(1.074615730192172+0j),(0.9305651982367374+0j),(1.000000000000402+5.015264826149826e-08j),(1.000000000000402-5.015264826149826e-08j)
190,-0.3181866851744102,0.9520106425946528,1.6361685557349273,0.5377466362697022,0.6896135066480928,6.310519815231017,2.233581184066508,1.0025764426662702,(0.9339811480916953+0.3573222845155881j),(0.9339811480916953-0.3573222845155881j),(1.0744062650836668+0j),(0.9307466202430386+0j),(1.00000000000039+5.273586396978233e-08j),(1.00000000000039-5.273586396978233e-08j)
191,-0.3299588364949122,0.948084238796003,1.6319813982841036,0.5588529640671184,0.6867867796717075,6.310535370057539,2.21454439531125,1.002562744831678,(0.9357253978888717+0.352729329299071j),(0.9357253978888717-0.352729329299071j),(1.074201123677017+0j),(0.9309243659804743+0j),(1.0000000000003668+5.007099524143932e-08j),(1.0000000000003668-5.007099524143932e-08j)
192,-0.3416735974322932,0.9440146743533292,1.6274655481733713,0.579902491522104,0.6840069494938489,6.310550510520917,2.1946022320437333,1.0025493620099446,(0.937428361649054+0.3481782112337752j),(0.937428361649054-0.3481782112337752j),(1.0740002071114518+0j),(0.9310985169026479+0j),(1.000000000000406+5.900766890482664e-08j),(1.000000000000406-5.900766890482664e-08j)
