Index,Initial x,Initial y,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
30,-2.154408705094402,0.0,0.0,0.0,1.784717304191166,0.0,36.755412013173306,2.3862452741802462,167.9777859182753,(335.9525952261174+0j),(0.9999999925279435+0.0001203604222730356j),(0.9999999925279435-0.0001203604222730356j),(0.0029766105431352405+0j),(-2.87845487974647+0j),(-0.34740860696980624+0j)
31,-2.1526559587623106,0.0,0.0,0.0,1.7828364816857827,0.0,36.752319837888116,2.386165516174773,69.08218832636241,(138.1571385178682+0j),(0.9999995362599368+0.00096106662006078j),(0.9999995362599368-0.00096106662006078j),(0.007238136013048482+0j),(-2.8751776966255713+0j),(-0.3478045900160391+0j)
32,-2.150907347263952,0.0,0.0,0.0,1.7809421098325773,0.0,36.74925147473517,2.3861503225784677,21.849925544803423,(-43.67695572101964+0j),(0.9999983570259668+0.0018068809784453305j),(0.9999983570259668-0.0018068809784453305j),(-0.022895368845231905+0j),(-2.8692169888266035+0j),(-0.3485271430821052+0j)
33,-2.149162834120042,0.0,0.0,0.0,1.779034956546016,0.0,36.7462055330205,2.3861966170322426,105.29507695984206,(-210.58530422247162+0j),(0.999804308628376+0.019782293178185917j),(0.999804308628376-0.019782293178185917j),(-0.004748667168082638+0j),(-2.86069134787635+0j),(-0.34956584908773786+0j)
34,-2.147422381236424,0.0,0.0,0.0,1.7771157363192267,0.0,36.74318069088843,2.386301518214077,181.7103486129309,(-363.4179180412823+0j),(0.9999218095499232+0.012504937362145441j),(0.9999218095499232-0.012504937362145441j),(-0.002751652779344939+0j),(-0.3509123937109022+0j),(-2.849714110759183+0j)
35,-2.1456859493647644,0.0,0.0,0.0,1.7751851151880444,0.0,36.74017569078666,2.3864623231807096,251.52151521943128,(-503.04086818894723+0j),(0.9999610756676387+0.008822997731046094j),(0.9999610756676387-0.008822997731046094j),(-0.0019879093661455344+0j),(-2.8363902979367097+0j),(-0.35256078852256567+0j)
36,-2.1439534984910082,0.0,0.0,0.0,1.7732437151373583,0.0,36.73718933527318,2.3866764924841224,315.12909642496027,(-630.2565377438593+0j),(0.9999785680182556+0.006546931822560056j),(0.9999785680182556-0.006546931822560056j),(-0.0015866553244683374+0j),(-2.820819567213964+0j),(-0.35450689991702916+0j)
37,-2.142224988159995,0.0,0.0,0.0,1.7712921180213919,0.0,36.73422048314986,2.386941636832932,372.91121577261544,(-745.8209271243463+0j),(0.9999873666786361+0.005026533010992493j),(0.9999873666786361-0.005026533010992493j),(-0.0013408041317339674+0j),(-2.803095824978051+0j),(-0.35674841762010445+0j)
38,-2.14050037775158,0.0,0.0,0.0,1.7693308690612353,0.0,36.73126804588179,2.387255505126051,425.2241115377187,(-850.4470472232745+0j),(0.9999923751752938+0.0039050948677357604j),(0.9999923751752938-0.0039050948677357604j),(-0.0011758522188846422+0j),(-2.7833075113056993+0j),(-0.35928477034480305+0j)
39,-2.1387796267116728,0.0,0.0,0.0,1.7673604799729552,0.0,36.72833098428935,2.38761597367629,472.40388501122493,(-944.8067116049051+0j),(0.9999952133868606+0.0030939970396597735j),(0.9999952133868606-0.0030939970396597735j),(-0.0010584175795612825+0j),(-2.7615378226033878+0j),(-0.3621170754256707+0j)
40,-2.1370626947459597,0.0,0.0,0.0,1.765381431772794,0.0,36.72540830548623,2.388021036483433,514.7672782028744,(-1029.533493452771+0j),(0.9999968714453327+0.002501265094278415j),(0.9999968714453327-0.002501265094278415j),(-0.0009713136263646224+0j),(-2.7378649134148203+0j),(-0.36524811545622854+0j)
41,-2.13534954198332,0.0,0.0,0.0,1.7633941772971395,0.0,36.72249906004396,2.388468796445161,552.6129498664066,(-1105.2249949396673+0j),(0.9999980233181573+0.001988322473502521j),(0.9999980233181573-0.001988322473502521j),(-0.0009047934567573495+0j),(-0.36868234506659414+0j),(-2.712362046568684+0j)
