Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
34,-1.9986625829562692,3.232036967220716e-05,1.4091669811449148,58.47641297727893,3.011594219101601,7.096384519876527,(-14.121956173721749+0j),(-0.07081171376717699+0j),(0.9999999918234592+0.00012407080905524017j),(0.9999999918234592-0.00012407080905524017j),(-0.9517599743530205+0.30684352888650573j),(-0.9517599743530205-0.30684352888650573j)
35,-1.9986626219451635,3.318587973574657e-05,1.4091670375959413,58.47641347344975,3.0115941961721417,7.535819401737564,(-15.004994326426656+0j),(-0.06664450552751618+0j),(0.9999999924229183+0.00013269300311405396j),(0.9999999924229183-0.00013269300311405396j),(-0.9517601903023306+0.3068428590592609j),(-0.9517601903023306-0.3068428590592609j)
36,-1.998662661695819,3.404565412226875e-05,1.4091670951498976,58.47641397931083,3.0115941727947,7.983837003185941,(-15.904799905096356+0j),(-0.06287415670581342+0j),(0.9999999934491524+0.0001221576763717157j),(0.9999999934491524-0.0001221576763717157j),(-0.9517604105042142+0.30684217603979824j),(-0.9517604105042142-0.30684217603979824j)
37,-1.9986627021880103,3.489969564932384e-05,1.4091671537775072,58.47641449461293,3.0115941489811515,8.440209634135451,(-16.82096507454325+0j),(-0.05944960486884016+0j),(0.9999999918386424+0.00011897836772489015j),(0.9999999918386424-0.00011897836772489015j),(-0.9517606348044599+0.30684148030636466j),(-0.9517606348044599-0.30684148030636466j)
38,-1.998662743401454,3.5748003651496874e-05,1.4091672134494102,58.47641501912628,3.011594124743399,8.90472494272698,(-17.75312176393838+0j),(-0.056328124175596156+0j),(0.9999999944915756+0.00010527877641904789j),(0.9999999944915756-0.00010527877641904789j),(-0.9517608631097774+0.3068407721482293j),(-0.9517608631097774-0.3068407721482293j)
39,-1.9986627853190293,3.659063354436262e-05,1.409167274140788,58.47641555254388,3.0115941000915973,9.377154188190788,(-18.70083482778286+0j),(-0.05347356744944787+0j),(0.9999999952907338+0.00010239044592232629j),(0.9999999952907338-0.00010239044592232629j),(-0.9517610953029051+0.30684005192902175j),(-0.9517610953029051-0.30684005192902175j)
40,-1.998662827920067,3.742756999231696e-05,1.4091673358217411,58.47641609468592,3.0115940750378254,9.857293464806023,(-19.6637318830753+0j),(-0.05085508134257122+0j),(0.9999999968572795+8.184454815430367e-05j),(0.9999999968572795-8.184454815430367e-05j),(-0.9517613313045409+0.30683931989463376j),(-0.9517613313045409-0.30683931989463376j)
41,-1.9986628711871297,3.825885414595766e-05,1.4091673984670123,58.47641664529484,3.0115940495923663,10.344944927611785,(-20.641443631312995+0j),(-0.048446238790554125+0j),(0.9999999967101153+8.877396757417059e-05j),(0.9999999967101153-8.877396757417059e-05j),(-0.9517615709545462+0.30683857654168945j),(-0.9517615709545462-0.30683857654168945j)
42,-1.998662915101851,3.9084505520996686e-05,1.409167462050016,58.47641720415842,3.011594023766002,10.839886224446548,(-21.633547945982297+0j),(-0.04622450797550009+0j),(0.9999999991051645+3.5415039431461045e-05j),(0.9999999991051645-3.5415039431461045e-05j),(-0.9517618142547382+0.30683782186445824j),(-0.9517618142547382-0.30683782186445824j)
43,-1.998662959647401,3.990456642720514e-05,1.4091675265463777,58.47641777104115,3.0115939975686525,11.34195623022726,(-22.63974234647105+0j),(-0.044170136460803464+0j),(0.9999999964515127+8.521686247733095e-05j),(0.9999999964515127-8.521686247733095e-05j),(-0.9517620609480539+0.3068370566602242j),(-0.9517620609480539-0.3068370566602242j)
44,-1.9986630048062557,4.071906234193949e-05,1.4091675919307305,58.47641834574279,3.011593971010603,11.85093103665048,(-23.65959296216165+0j),(-0.042266148719854145+0j),(0.999999997975979+5.925447209484059e-05j),(0.999999997975979-5.925447209484059e-05j),(-0.9517623111138409+0.3068362806827738j),(-0.9517623111138409-0.3068362806827738j)
45,-1.998663050562597,4.152804307045735e-05,1.4091676581801649,58.47641892803786,3.011593944101181,12.366614606934514,(-24.692731466531704+0j),(-0.040497755912642555+0j),(0.9999196939189264+0j),(1.0000803147989596+0j),(-0.9517625646443126+0.3068354942663522j),(-0.9517625646443126-0.3068354942663522j)
46,-1.9986630968999817,4.233154272372925e-05,1.40916772527088,58.47641951773269,3.0115939168500305,12.888896659133469,(-25.738941682004864+0j),(-0.03885164428105901+0j),(0.9999999966342661+7.855898126516895e-05j),(0.9999999966342661-7.855898126516895e-05j),(-0.9517628212076208+0.30683469844024297j),(-0.9517628212076208-0.30683469844024297j)
47,-1.9986631438037283,4.312961922184461e-05,1.409167793181606,58.47642011460962,3.0115938892658285,13.417531985649962,(-26.797747401925584+0j),(-0.037316584985401045+0j),(0.9999999985517127+6.60935303576331e-05j),(0.9999999985517127-6.60935303576331e-05j),(-0.9517630810171571+0.3068338925424097j),(-0.9517630810171571-0.3068338925424097j)
48,-1.9986631912568444,4.392228862526315e-05,1.4091678618877632,58.476420718515975,3.0115938613584983,13.95238356854905,(-27.86888482583055+0j),(-0.03588233290639841+0j),(0.9999999930443783+0.00011500541232961171j),(0.9999999930443783-0.00011500541232961171j),(-0.9517633437933213+0.3068330774400915j),(-0.9517633437933213-0.3068330774400915j)
49,-1.9986632392461965,4.470962347664642e-05,1.4091679313703167,58.47642132923115,3.0115938331358203,14.493238396132154,(-28.95193678869569+0j),(-0.03454005243340543+0j),(0.9999999996022744+6.446659219409914e-05j),(0.9999999996022744-6.446659219409914e-05j),(-0.9517636096822231+0.306832252679974j),(-0.9517636096822231-0.306832252679974j)
50,-1.9986632877571504,4.549166707548938e-05,1.4091680016080823,58.47642194658125,3.011593804606388,15.040001386923548,(-30.046721272316965+0j),(-0.0332815021823753+0j),(0.9999999952549217+9.992029320757621e-05j),(0.9999999952549217-9.992029320757621e-05j),(-0.9517638783383728+0.30683141933365105j),(-0.9517638783383728-0.30683141933365105j)
51,-1.9986633367758253,4.62684697316119e-05,1.409168072580963,58.47642257039024,3.011593775778362,15.592492575830962,(-31.152854327407837+0j),(-0.03209975536066167+0j),(0.9999999940106341+9.129155048678393e-05j),(0.9999999940106341-9.129155048678393e-05j),(-0.9517641498630689+0.3068305770868308j),(-0.9517641498630689-0.3068305770868308j)
52,-1.998663386288353,4.704007685968095e-05,1.4091681442688828,58.47642320049483,3.011593746659889,16.1505040206224,(-32.270019081945165+0j),(-0.030988515491971055+0j),(0.9999670778709373+0j),(1.000032923121648+0j),(-0.9517644241881342+0.30682972615090665j),(-0.9517644241881342-0.30682972615090665j)
53,-1.9986634362822613,4.7806549898356894e-05,1.4091682166537811,58.47642383671815,3.0115937172583127,16.713994762726976,(-33.39804765548852+0j),(-0.029941893587925525+0j),(0.9999999933865577+0.00011787353332710844j),(0.9999999933865577-0.00011787353332710844j),(-0.9517647009854631+0.30682886754356187j),(-0.9517647009854631-0.30682886754356187j)
54,-1.998663486744556,4.856793769695804e-05,1.409168289716841,58.47642447890501,3.0115936875812785,17.282728247919785,(-34.53650162337144+0j),(-0.028954874922903835+0j),(0.9999999984660741+7.192313023380052e-05j),(0.9999999984660741-7.192313023380052e-05j),(-0.9517649805654562+0.30682800030187296j),(-0.9517649805654562-0.30682800030187296j)
55,-1.9986635376632755,4.93242991048255e-05,1.4091683634407457,58.476425126893815,3.01159365763582,17.856602469749014,(-35.685175353453914+0j),(-0.02802283583968268+0j),(0.9999466708860363+0j),(1.0000533328774792+0j),(-0.9517652626665674+0.30682712523707345j),(-0.9517652626665674-0.30682712523707345j)
